Date	Day	Work Level	Theme	Checklist Item	Acceptance Goal	Difficulty	Risk/Notes	Status	Owner
Oct-24	Fri	Work	Foundation	Repo + Next.js (JS) scaffold; minimal pages	App boots; API routes reachable	Medium	Set up lint/formatter early to avoid churn		Blessan
Oct-24	Fri	Work	Foundation	NeonDB + Prisma schema: users, goals, transactions, notifications, pause_requests	DB schema defined	Medium	Include wallet_address (Users), batch_id/provider/network/type/meta (Transactions)		Blessan
Oct-24	Fri	Work	Foundation	Migrations + DB connection; envs on Vercel	DB migrates cleanly	Medium	Create .env.example; verify on local + Vercel		Blessan
Oct-24	Fri	Work	Foundation	Auth/session middleware skeleton; unified error format; rate limiting	Health endpoint OK	Medium	Add request ID + structured logs		Blessan
Oct-25	Sat	Work	Auth + Provisioning	Integrate Privy (server + minimal client)	Login succeeds via Privy	Medium	Watch for SSR/CSR boundary with Next.js app router		Blessan
Oct-25	Sat	Work	Auth + Provisioning	On login: create/read users (privy_id, email, wallet_address)	User record persisted	Low	Guard against duplicate users; add unique indexes		Blessan
Oct-25	Sat	Work	Auth + Provisioning	Protected API guard (JWT/session validation)	Protected route enforced	Medium	Centralize auth middleware; test 401/403 paths		Blessan
Oct-25	Sat	Work	Minimal UI	Login → protected blank dashboard	Blank dashboard visible post-auth	Low	Basic layout only; no styling yet		Blessan
Oct-26	Sun	Light	2FA PIN (Backend)	Endpoints: /api/auth/2fa/setup, /api/auth/2fa/verify (hash + rate-limit)	2FA endpoints working	Medium	Use bcrypt/argon2; throttle attempts		Blessan
Oct-26	Sun	Light	2FA PIN (Backend)	Enforce 2FA before protected APIs	Verified users reach protected area	Medium	Store 2FA state; return 403 until verified		Blessan
Oct-27	Mon	Work	Goals Service	POST /api/goals (₹100 min, >0 target, ≤10y ETA)	Goal created with validations	Medium	Validate currency/amounts server-side		Blessan
Oct-27	Mon	Work	Goals Service	GET /api/goals (list), GET /api/goals/:id (details)	Goals retrievable	Low	Pagination later; keep simple now		Blessan
Oct-27	Mon	Work	Goals Service	PATCH /api/goals/:id (amount/frequency); status active|paused|completed	Goal updates persist	Medium	Use enum; audit updated_at		Blessan
Oct-27	Mon	Work	Frontend sanity	Minimal form hits POST /api/goals and renders list	Round-trip works via UI	Low	Catches CORS/state issues early		Blessan
Oct-27	Mon	Reflection	Reflection 1	Auth/2FA/Goals review; note blockers	Notes recorded	Low	Identify risks before swaps/on-ramp		Blessan
Oct-28	Tue	Work	Price + Progress	Price service (CoinGecko) + in-memory cache	Prices fetched/cached	Medium	Cache TTL; fallback on API failure		Blessan
Oct-28	Tue	Work	Price + Progress	GET /api/price/current?coins=BTC,ETH,SOL; basic /api/price/historical	Endpoints return data	Low	Normalize coin IDs		Blessan
Oct-28	Tue	Work	Price + Progress	GET /api/progress/:goalId (percent, totals, ETA)	Progress computed	Medium	Unit-test math, edge cases		Blessan
Oct-28	Tue	Buffer	Buffer/Debug	Stabilize endpoints; resolve blockers from Reflection 1	Critical issues cleared	Low	Time reserved for integration bugs		Blessan
Oct-29	Wed	Work	OnRamp Simulation	Devnet app wallet setup (secure key); POST /api/onramp/simulate	Devnet SOL transfer to user wallet returns signature	Medium	Secure dev wallet; rate-limit; store key in env		Blessan
Oct-29	Wed	Work	Swap (Jupiter)	Integrate Jupiter (devnet); POST /api/swap/execute (SOL/USDC → goal token)	Swap executes; returns signature + price	Medium	Handle slippage; check route failures		Blessan
Oct-29	Wed	Work	Transactions	Insert transactions with batch_id/type/provider/network/meta	Records persisted for transfer + swap	Low	Ensure atomic pair creation and linkage		Blessan
Oct-29	Wed	Work	Idempotency	Idempotent handling via batch_id dedupe for simulate/swap	Duplicates prevented	Medium	Upsert or unique(batch_id,type)		Blessan
Oct-30	Thu	Work	History API	GET /api/history (group by batch_id; filter by type/date/token)	History returns paired onramp+swap	Low	Server-side sort/limit		Blessan
